"champ";"statut";"annee";"periode";"date du resultat";"ipe";dp;dr;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z480;K650;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z098;K270;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z480;K550;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z04880;K259;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z04880;N178;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z092;K852;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z097;J440;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z098;K269;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:17";="590780193";Z480;K262;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:48";="020004404";Z512;D62;1;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:48";="020004404";Z098;K858;1;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:48";="020004404";Z092;K259;1;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:48";="020004404";Z092;K250;1;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:48";="020004404";Z092;K251;1;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:48";="020004404";Z092;K550;1;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:06";="590781605";Z515;K720;3;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:06";="590781605";Z515;N178;2;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:06";="590781605";Z515;J960;2;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:06";="590781605";Z515;I2198;1;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:06";="590781605";Z04802;K810;1;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:06";="590781605";Z098;J960;1;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:34:07";="800000093";Z098;I269;1;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z515;J441;2;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z098;K250;2;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z515;N410;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z098;K259;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z488;K650;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z515;K550;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z098;K253;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z515;K859;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z098;F01001;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z090;K859;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z098;F01000;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:18";="600100713";Z515;I269;1;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z098;I269;8;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z098;I330;4;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z098;N730;2;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z512;I330;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z512;M8617;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z512;G368;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z8711;K550;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z488;M8627;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:43";="590782215";Z515;N178;1;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 18:54:05";="800000069";Z530;J068;1;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:54:05";="800000069";Z530;J209;1;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:59";="020000071";Z515;D62;1;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:59";="020000071";Z515;J441;1;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:19:08";="600100721";Z515;I620;1;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z515;J960;4;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z04880;J040;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z515;K550;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z502;F100;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z515;N179;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z515;J441;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z488;I2118;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z04880;I330;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z515;K720;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z512;D62;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z594;H651;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z515;I269;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z019;N179;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z04880;F01001;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z5130;D62;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:03";="620100057";Z594;J00;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:22:42";="600101984";Z098;F0100;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 14:03:09";="590783239";Z033;F100;1;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:09";="590783239";Z5130;D62;1;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:18";="590785374";Z04801;I248;2;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:18";="590785374";Z515;N410;1;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:18";="590785374";Z098;J219;1;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z491;N179;23;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z512;H050;2;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z512;D62;2;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z098;K858;2;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z501;G368;2;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z5130;D62;1;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z04880;K858;1;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:10";="020000063";Z8712;K850;1;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/04 15:54:43";="620103432";Z488;I2118;1;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:43";="620103432";Z488;K650;1;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z04880;F01001;2;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z090;M8627;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z04880;N178;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z098;F0100;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z452;K810;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z015;H101;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z04880;F01000;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z04880;F01002;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:09";="590782637";Z098;F01001;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:02";="590781803";Z515;N178;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:45:26";="800000044";Z098;I330;4;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:26";="800000044";Z098;I269;2;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:26";="800000044";Z512;G373;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:26";="800000044";Z515;K650;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:26";="800000044";Z092;L931;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:26";="800000044";Z098;H200;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:26";="800000044";Z098;I620;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z512;I330;8;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z512;M8616;2;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z452;M8616;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z515;N10;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z515;K261;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z488;K550;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z098;H700;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z098;M8617;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z480;H050;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:30";="590781902";Z512;N10;1;2023.7;X590781902;07SEP23;20:00:41
