"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;annee;periode;montant;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400894178941;9417894;9417894;CDEXA01;2022;5;20.42;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400890009249;9000924;9000924;CEMAP01;2022;12;1.2;1;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/02 14:56:44";="590048476";3400894512820;9451282;9451282;NXXXX00;2022;1;3103.84;76;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/13 16:01:18";="600100721";3400890004879;9000487;9000487;;2022;3;1045;1;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:18";="600100721";3400890004879;9000487;9000487;;2022;5;2090;2;2022.12;X600100721;13FEB23;16:00:35
