"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;annee;periode;montant;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/02 09:23:03";="600100721";3400890004879;9000487;9000487;;2022;3;1045;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:03";="600100721";3400890004879;9000487;9000487;;2022;5;2090;2;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894178941;9417894;9417894;CDEXA01;2022;5;20.42;1;2022.11;X800000523;22DEC22;10:53:02
